# it time Tinst Tset
7820 15.64 0.572127 0.582437
7830 15.66 0.551286 0.582437
7840 15.68 0.53835 0.577479
7850 15.7 0.546195 0.577479
7860 15.72 0.584203 0.572521
7870 15.74 0.627089 0.572521
7880 15.76 0.621304 0.567563
7890 15.78 0.565766 0.567563
7900 15.8 0.511642 0.562605
7910 15.82 0.499561 0.562605
7920 15.84 0.541046 0.557647
7930 15.86 0.607344 0.557647
7940 15.88 0.630917 0.552689
7950 15.9 0.579544 0.552689
7960 15.92 0.501069 0.547731
7970 15.94 0.455043 0.547731
7980 15.96 0.473654 0.542773
7990 15.98 0.556347 0.542773
8000 16 0.640712 0.537815
8010 16.02 0.625849 0.537815
8020 16.04 0.525776 0.532857
8030 16.06 0.441707 0.532857
8040 16.08 0.433679 0.527899
8050 16.1 0.5054 0.527899
8060 16.12 0.602936 0.522941
8070 16.14 0.629141 0.522941
8080 16.16 0.559366 0.517983
8090 16.18 0.468642 0.517983
8100 16.2 0.419993 0.513025
8110 16.22 0.431902 0.513025
8120 16.24 0.49696 0.508067
8130 16.26 0.572597 0.508067
8140 16.28 0.594658 0.503109
8150 16.3 0.541444 0.503109
8160 16.32 0.462907 0.498151
8170 16.34 0.415122 0.498151
8180 16.36 0.422293 0.493193
8190 16.38 0.483876 0.493193
8200 16.4 0.567029 0.488235
8210 16.42 0.592631 0.488235
8220 16.44 0.526344 0.483277
8230 16.46 0.434843 0.483277
8240 16.48 0.383536 0.478319
8250 16.5 0.391447 0.478319
8260 16.52 0.455934 0.473361
8270 16.54 0.542246 0.473361
