# t   T_sensor   E_supplied   E_window
9530  292.834  550  6.09467
9540  292.834  550  6.09468
9550  292.834  550  6.09468
9560  292.834  550  6.09468
9570  292.834  550  6.09469
9580  292.834  550  6.09469
9590  292.834  550  6.09469
9600  292.834  550  6.0947
9610  292.834  550  6.0947
9620  292.834  550  6.0947
9630  292.835  550  6.09471
9640  292.835  550  6.09471
9650  292.835  550  6.09472
9660  292.835  550  6.09472
9670  292.835  550  6.09472
9680  292.835  550  6.09473
9690  292.835  550  6.09473
9700  292.835  550  6.09473
9710  292.835  550  6.09474
9720  292.835  550  6.09474
9730  292.835  550  6.09474
9740  292.835  550  6.09474
9750  292.835  550  6.09475
9760  292.835  550  6.09475
9770  292.835  550  6.09475
9780  292.835  550  6.09476
9790  292.835  550  6.09476
9800  292.835  550  6.09476
9810  292.835  550  6.09477
9820  292.835  550  6.09477
9830  292.835  550  6.09477
9840  292.835  550  6.09477
9850  292.835  550  6.09478
9860  292.835  550  6.09478
9870  292.835  550  6.09478
9880  292.835  550  6.09478
9890  292.835  550  6.09479
9900  292.835  550  6.09479
9910  292.835  550  6.09479
9920  292.835  550  6.0948
9930  292.835  550  6.0948
9940  292.835  550  6.0948
9950  292.835  550  6.0948
9960  292.835  550  6.09481
9970  292.835  550  6.09481
9980  292.835  550  6.09481
9990  292.835  550  6.09481
